ID,Incident Date,District,Bias Code,Bias Code_2,Bias,Status,# of Victims,Victim Type,# of Suspects,# Suspects < 18 of age,# Suspects 18-35 of age,# Suspects 36-45 of age,# Suspects 46-55 of age,# Suspects > 55 of age,Suspect Known/Unknown
200014895,4/1/2020,GCPD,Anti-Jewish,,Verbal Intimidation/Simple Assault,Closed-Admin,,Religious Organization,2,,,,,,Unknown
200012482,3/13/2020,4D,Anti-Jewish,,Written Intimidation/Simple Assault,Closed-Arrest,2,Individual(s),1,,1,,,,Known
180039198,8/7/2018,2D,Anti-Jewish,,Written Intimidation/Simple Assault,Open,1,Individual(s),1,,1,,,,Known
16045255,9/4/2016,3D,Anti-Jewish,,Vandalism,Open,1,Individual(s),,,,,,,Unknown
180036489,7/23/2018,5D,Anti-Multi-Racial,Anti-Multi-Religious Group,Flyer Left Behind,N/A,1,Individual(s),,,,,,,Unknown
200015942,4/13/2020,5D,Anti-Jewish,Anti-Bisexual,Written Intimidation/Simple Assault,Open,1,Individual(s),1,,,,,,Known
16022218,5/5/2016,1D,Anti-Multi-Racial,,Vandalism,Inactive,,School/College,,,,,,,Unknown
16062433,12/5/2016,4D,Anti-Jewish,,Vandalism,Open,,School/College,,,,,,,Unknown
180009756,2/25/2018,1D,Anti-Black,,Other,N/A,,Government,,,,,,,Unknown
16035346,7/12/2016,3D,Anti-Homosexual,,Assault (physical),Closed-Arrest,2,Individual(s),1,,1,,,,Known
16002798,1/15/2016,5D,Anti-Transgender,,Verbal Intimidation/Simple Assault,N/A,1,Individual(s),,,,,,,Unknown
170521252,7/25/2017,RCPD,Anti-Jewish,,Written Intimidation/Simple Assault,Open,1,Individual(s),,,,,,,Unknown
170523413,8/6/2017,4D,Anti-Black,,Vandalism,UNF,1,Individual(s),,,,,,,Unknown
190022870,5/15/2019,RCPD,Anti-Hispanic,,Vandalism,Inactive,,Business/Financial Institution,,,,,,,Unknown
190023755,5/19/2019,2D,Anti-Other Ethnicity,,Vandalism,N/A,,School/College,,,,,,,Unknown
190056448,11/21/2019,2D,Anti-Jewish,,Vandalism,N/A,1,Individual(s),1,1,,,,,Known
200003519,1/22/2020,5D,Anti-Jewish,,Vandalism,Open,,School/College,,,,,,,Unknown
170524454,8/12/2017,6D,Anti-Homosexual,,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,,,1,,,Known
180023500,5/10/2018,RCPD,Anti-Islamic,,Written Intimidation/Simple Assault,Closed-Admin,1,Individual(s),,,,,,,Unknown
17010637,2/28/2017,5D,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
190025582,5/31/2019,2D,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
180010731,3/2/2018,TPPD,Anti-Transgender,,Assault (physical),Closed-Exception,1,Individual(s),2,,,,,,Unknown
16001171,1/7/2016,2D,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
16064844,12/18/2016,6D,Anti-Homosexual,,Vandalism,Inactive,,Other,,,,,,,Unknown
170528411,9/2/2017,6D,Anti-Black,,Physical Intimidation/Simple Assault,Open,1,Individual(s),3,3,,,,,Known
170531517,9/18/2017,2D,Anti-Black,,Verbal Intimidation/Simple Assault,Closed-Admin,1,Individual(s),1,1,,,,,Known
190023112,5/16/2019,1D,Anti-Jewish,,Vandalism,Open,,School/College,,,,,,,Unknown
180000925,1/6/2018,2D,Anti-Asian,,Written Intimidation/Simple Assault,Open,1,Individual(s),,,,,,,Unknown
16067112,12/31/2016,1D,Anti-Jewish,,Vandalism,Inactive,,Other,,,,,,,Unknown
180036383,7/22/2018,GCPD,Anti-Arab,,Vandalism,Open,2,Individual(s),,,,,,,Unknown
190041233,8/28/2019,RCPD,Anti-Other Ethnicity,,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,,,,,1,Known
16030098,6/14/2016,4D,Anti-Asian,,Verbal Intimidation/Simple Assault,N/A,2,Individual(s),2,,,,,2,Known
190040984,8/26/2019,4D,Anti-Jewish,,Vandalism,Open,,Other,,,,,,,Unknown
200002368,1/14/2020,4D,Anti-Islamic,,Written Intimidation/Simple Assault,N/A,1,Individual(s),,,,,,,Unknown
180034717,7/13/2018,2D,Anti-Black,,Verbal Intimidation/Simple Assault,Open,1,Individual(s),,,,,,,Unknown
16031655,6/16/2016,2D,Anti-Islamic,,Assault (physical),Closed-Arrest,1,Individual(s),1,,1,,,,Known
17011943,3/6/2017,1D,Anti-Jewish,,Written Intimidation/Simple Assault,Open,,Religious Organization,,,,,,,Unknown
180053627,10/25/2018,1D,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
200001627,1/4/2020,4D,Anti-Jewish,Anti-Multi-Racial,Flyer Left Behind,N/A,,Society,,,,,,,Unknown
170528121,9/1/2017,RCPD,Anti-Multi-Racial,,Flyer Left Behind,Open,,Society,,,,,,,Unknown
16020209,4/24/2016,1D,Anti-Jewish,,Vandalism,Inactive,,School/College,,,,,,,Unknown
180005896,1/31/2018,3D,Anti-Homosexual,,Vandalism,Closed-Admin,1,Individual(s),,,,,,,Unknown
190022028,5/10/2019,4D,Anti-Jewish,,Vandalism,N/A,,Society,,,,,,,Unknown
16058486,11/12/2016,3D,Anti-Hispanic,,Vandalism,Open,,Religious Organization,,,,,,,Unknown
16058581,11/13/2016,4D,Anti-Hispanic,,Assault (physical),Closed-Arrest,1,Individual(s),1,,1,,,,Known
16042149,8/20/2016,3D,Anti-Black,,Verbal Intimidation/Simple Assault,N/A,1,Individual(s),1,,,,,1,Known
200021910,6/3/2020,4D,Anti-Black,,Vandalism,Open,,Business/Financial Institution,1,,,,,,Unknown
200010934,3/5/2020,RCPD,Anti-Asian,,Written Intimidation/Simple Assault,N/A,1,Individual(s),,,,,,,Unknown
190030534,6/24/2019,1D,Anti-Hispanic,,Assault (physical),Open,1,Individual(s),4,,4,,,,Unknown
17000401,1/3/2017,2D,Anti-Black,,Written Intimidation/Simple Assault,Closed-Admin,1,Individual(s),1,,1,,,,Known
200011796,3/10/2020,RCPD,Anti-Multi-Racial,Anti-Homosexual,Written Intimidation/Simple Assault,N/A,,School/College,,,,,,,Unknown
16012552,3/14/2016,1D,Anti-Black,,Written Intimidation/Simple Assault,N/A,1,Individual(s),1,,,,,,Known
190015763,4/4/2019,2D,Anti-Homosexual,,Assault (physical),Closed-Arrest,1,Individual(s),1,,1,,,,Known
180004831,1/28/2018,RCPD,Anti-Gender Non-Conforming,,Assault (physical),Closed-Arrest,1,Individual(s),1,,1,,,,Known
16014707,3/25/2016,TPPD,Anti-Black,,Verbal Intimidation/Simple Assault,Closed-Arrest,1,Individual(s),1,,,,1,,Known
180061842,12/11/2018,6D,Anti-Homosexual,Anti-Jewish,Vandalism,Closed-Admin,1,School/College,1,1,,,,,Known
190018069,4/17/2019,2D,Anti-Jewish,,Vandalism,Open,,Society,,,,,,,Unknown
170535772,10/8/2017,1D,Anti-Islamic,,Written Intimidation/Simple Assault,Closed-Admin,1,Individual(s),2,2,,,,,Known
16052215,10/3/2016,1D,Anti-Black,,Written Intimidation/Simple Assault,N/A,1,Individual(s),,,,,,,Unknown
17007821,2/13/2017,GCPD,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
200021449,5/30/2020,2D,Anti-Homosexual,,Assault (physical),Open,1,Individual(s),4,3,,,,,Known
190006274,2/8/2019,1D,Anti-Black,,Written Intimidation/Simple Assault,N/A,1,Individual(s),4,4,,,,,Known
180011551,3/7/2018,1D,Anti-White,,Written Intimidation/Simple Assault,Closed-Arrest,,School/College,1,,,,1,,Known
180008200,2/16/2018,2D,Anti-Jewish,,Written Intimidation/Simple Assault,Inactive,1,Individual(s),,,,,,,Unknown
170526402,8/23/2017,RCPD,Anti-Jewish,Anti-Islamic,Flyer Left Behind,Open,,Other,,,,,,,Unknown
16058365,11/12/2016,3D,Anti-Islamic,,Verbal Intimidation/Simple Assault,N/A,,Religious Organization,1,,,,,1,Known
190049702,10/16/2019,3D,Anti-Black,,Vandalism,Closed-Arrest,1,Individual(s),2,,1,1,,,Known
180044692,9/7/2018,4D,Anti-Jewish,,Vandalism,Closed-Arrest,,Religious Organization,1,,1,,,,Known
180014001,3/21/2018,2D,Anti-Jewish,,Written Intimidation/Simple Assault,Closed-Admin,1,Individual(s),1,,1,,,,Known
190003502,1/23/2019,4D,Anti-Islamic,,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,,,,,,Known
16063483,12/10/2016,2D,Anti-Jewish,,Flyer Left Behind,Closed-Exception,1,Individual(s),,,,,,,Unknown
170507863,5/15/2017,2D,Anti-Black,,Vandalism,N/A,,School/College,,,,,,,Unknown
200014302,3/28/2020,5D,Anti-Other Religion,,Vandalism,Open,,Religious Organization,,,,,,,Unknown
200005776,2/4/2020,4D,Anti-Black,,Vandalism,N/A,,School/College,,,,,,,Unknown
190025231,5/27/2019,2D,Anti-Black,,Vandalism,Open,,Society,,,,,,,Unknown
