"","ID","District","Bias.Code","Bias","Victim.Type","Year"
"201",200001627,"4D","Anti-Jewish","Flyer Left Behind","Society",2020
"202",170528121,"RCPD","Anti-Multi-Racial","Flyer Left Behind","Society",2017
"203",16020209,"1D","Anti-Jewish","Vandalism","School/College",2016
"204",180005896,"3D","Anti-Homosexual","Vandalism","Individual(s)",2018
"205",190022028,"4D","Anti-Jewish","Vandalism","Society",2019
"206",16058486,"3D","Anti-Hispanic","Vandalism","Religious Organization",2016
"207",16058581,"4D","Anti-Hispanic","Assault (physical)","Individual(s)",2016
"208",16042149,"3D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2016
"209",200021910,"4D","Anti-Black","Vandalism","Business/Financial Institution",2020
"210",200010934,"RCPD","Anti-Asian","Written Intimidation/Simple Assault","Individual(s)",2020
"211",190030534,"1D","Anti-Hispanic","Assault (physical)","Individual(s)",2019
"212",17000401,"2D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2017
"213",200011796,"RCPD","Anti-Multi-Racial","Written Intimidation/Simple Assault","School/College",2020
"214",16012552,"1D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2016
"215",190015763,"2D","Anti-Homosexual","Assault (physical)","Individual(s)",2019
"216",180004831,"RCPD","Anti-Gender Non-Conforming","Assault (physical)","Individual(s)",2018
"217",16014707,"TPPD","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2016
"218",180061842,"6D","Anti-Homosexual","Vandalism","School/College",2018
"219",190018069,"2D","Anti-Jewish","Vandalism","Society",2019
"220",170535772,"1D","Anti-Islamic","Written Intimidation/Simple Assault","Individual(s)",2017
"221",16052215,"1D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2016
"222",17007821,"GCPD","Anti-Jewish","Vandalism","School/College",2017
"223",200021449,"2D","Anti-Homosexual","Assault (physical)","Individual(s)",2020
"224",190006274,"1D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2019
"225",180011551,"1D","Anti-White","Written Intimidation/Simple Assault","School/College",2018
"226",180008200,"2D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2018
"227",170526402,"RCPD","Anti-Jewish","Flyer Left Behind","Other",2017
"228",16058365,"3D","Anti-Islamic","Verbal Intimidation/Simple Assault","Religious Organization",2016
"229",190049702,"3D","Anti-Black","Vandalism","Individual(s)",2019
